production_country_id,movie_id
1,8195
0,8195
9,10586
0,10586
1,116149
0,80035
0,10632
0,12117
0,1792
0,13260
1,72197
0,3580
0,12123
0,9566
1,9833
0,9833
1,4517
0,8202
0,16072
0,34314
0,19724
0,145220
1,14623
16,14623
0,42297
16,2841
1,802
0,802
0,10375
9,36586
0,36586
0,11321
35,70074
0,70074
12,242
0,242
0,9621
0,1819
1,8536
0,8536
0,8046
0,1717
9,479
0,479
0,9444
15,824
0,824
0,11456
1,261023
0,261023
0,3683
0,22803
0,285923
0,39437
0,1950
0,640
0,97630
0,9767
9,11631
1,11631
0,11631
0,32856
0,6519
11,8741
0,8741
0,49520
0,1850
16,524
0,524
1,26389
16,26389
0,11817
0,2123
9,9907
0,9907
0,9969
0,18239
0,808
0,38050
0,8367
0,9390
0,72105
0,2898
0,10312
0,109443
0,2022
0,37686
0,462
9,9919
0,9919
0,187017
0,628
0,10201
0,302699
0,9441
0,274167
0,224141
0,388
0,2112
0,10329
0,74465
1,13811
0,13811
15,13811
0,6877
0,10320
0,50646
0,8920
0,13673
0,60308
0,6950
16,225574
1,225574
0,225574
0,13836
9,752
1,752
0,752
22,6038
0,6038
0,9975
0,11451
15,12103
0,12103
0,60304
9,60304
0,2251
0,46529
0,231
14,300671
25,300671
0,300671
33,228326
0,228326
0,9754
15,9754
0,66
0,4421
0,2649
11,588
16,588
13,588
0,588
0,10393
0,71552
9,9631
0,9631
0,216282
0,306
0,928
0,205587
0,6623
1,1577
0,1577
9,1577
16,1577
11,1577
16,9801
9,9801
24,9801
1,9801
0,9801
0,2116
0,9624
0,14199
1,1907
0,1907
0,4599
9,22832
0,22832
0,10390
0,9879
0,38579
0,44603
0,11892
16,9691
0,9691
1,1248
5,1248
16,1248
12,1248
0,12220
0,72710
0,10782
0,9573
9,4959
1,4959
0,4959
0,10061
0,10386
0,421
0,316152
9,11615
1,11615
0,11615
0,13498
0,241554
1,2252
0,2252
11,2252
0,11968
16,10047
0,38319
11,69668
0,69668
0,9770
0,11212
0,10533
0,38363
21,38363
16,9923
1,9923
0,9923
0,11863
0,18501
0,109491
9,9275
1,9275
0,9275
0,329833
0,12634
0,10416
0,47327
11,15268
18,15268
13,15268
0,15268
0,10796
0,9548
9,18947
1,18947
16,18947
9,1900
0,1900
0,89
16,96724
1,96724
33,198184
30,198184
0,198184
0,9481
0,4547
0,6415
1,181283
0,181283
5,181283
32,181283
11,9896
0,9896
9,167
1,167
0,167
0,11232
0,1636
0,2148
0,5176
16,260346
0,260346
0,1389
0,9894
11,7504
18,7504
0,8592
0,913
0,11091
0,1368
31,593
9,5393
0,5393
0,9095
0,8874
0,11467
0,320
0,199
0,20533
0,10684
0,1624
1,325789
44,113464
0,113464
0,888
16,82675
0,4256
0,1493
0,88751
0,11130
0,9944
0,10731
0,7350
0,9869
0,4379
9,4379
0,146233
15,2034
0,2034
0,926
11,4248
0,4248
0,64328
0,36647
9,7214
0,7214
0,1537
45,9360
46,9360
0,9360
0,6282
1,508
0,508
0,9487
5,768
1,768
46,2636
0,2636
0,10478
0,27983
0,9981
0,7453
0,15045
15,7737
16,7737
9,7737
1,7737
0,7737
0,232672
0,17379
0,8987
0,11359
0,82525
9,9759
0,9759
16,9486
1,9486
0,9906
0,841
0,4688
1,4148
0,4148
0,2207
9,2207
16,9381
1,9381
0,9625
0,9304
11,20856
0,20856
0,5955
0,9899
15,9826
0,9826
0,21355
0,10858
9,11439
1,11439
0,11439
11,9457
0,9457
12,12412
0,12412
10,1494
22,1494
0,13184
0,2185
0,6639
0,38153
1,58233
22,58233
10,58233
0,116977
0,68734
0,5503
0,27573
0,819
0,1369
0,9623
0,10895
0,10935
0,834
1,228066
0,228066
0,711
0,10468
16,10027
1,10027
0,10027
0,11812
0,37233
0,37950
0,27582
0,64688
1,509
0,509
1,7443
0,5966
0,11066
0,136795
1,8095
0,8095
35,8095
0,87826
0,11560
0,25189
0,2637
0,18480
1,709
0,709
11,49730
0,49730
9,2749
0,2749
1,9607
0,9607
16,1830
0,1830
9,1830
10,79
0,54054
0,228967
8,46528
44,46528
16,27936
0,65
16,280391
0,9476
22,10610
0,10610
0,745
0,49527
0,73937
0,1885
0,168672
0,18240
11,10398
0,10398
0,165
16,240832
0,240832
0,216015
0,12279
0,1645
0,11007
0,193756
0,11287
11,259693
0,259693
0,37799
19,10184
