,movie_id,gender_id
453,7978.0,27.0
454,7978.0,53.0
455,5559.0,10751.0
456,5559.0,16.0
457,5559.0,12.0
458,5559.0,35.0
459,49444.0,16.0
460,49444.0,10751.0
461,10196.0,28.0
462,10196.0,12.0
463,10196.0,10751.0
464,10196.0,14.0
465,956.0,12.0
466,956.0,28.0
467,956.0,53.0
468,117251.0,28.0
469,117251.0,18.0
470,117251.0,53.0
471,50321.0,12.0
472,50321.0,16.0
473,50321.0,10751.0
474,11619.0,12.0
475,11619.0,16.0
476,11619.0,35.0
477,11619.0,10751.0
478,266647.0,12.0
479,266647.0,10751.0
480,266647.0,14.0
481,82703.0,16.0
482,82703.0,12.0
483,82703.0,10751.0
484,652.0,12.0
485,652.0,18.0
486,652.0,10752.0
487,80321.0,16.0
488,80321.0,10751.0
489,36669.0,12.0
490,36669.0,28.0
491,36669.0,53.0
492,43074.0,28.0
493,43074.0,14.0
494,43074.0,35.0
495,95.0,28.0
496,95.0,53.0
497,95.0,878.0
498,95.0,12.0
499,608.0,28.0
500,608.0,12.0
501,608.0,35.0
502,608.0,878.0
503,2310.0,12.0
504,2310.0,28.0
505,2310.0,16.0
506,140300.0,28.0
507,140300.0,12.0
508,140300.0,16.0
509,140300.0,35.0
510,140300.0,10751.0
511,56292.0,28.0
512,56292.0,53.0
513,56292.0,12.0
514,81188.0,14.0
515,81188.0,16.0
516,81188.0,10751.0
517,7552.0,35.0
518,616.0,18.0
519,616.0,28.0
520,616.0,10752.0
521,616.0,36.0
522,147441.0,12.0
523,147441.0,18.0
524,147441.0,28.0
525,13475.0,878.0
526,13475.0,28.0
527,13475.0,12.0
528,557.0,14.0
529,557.0,28.0
530,82702.0,14.0
531,82702.0,28.0
532,82702.0,12.0
533,82702.0,16.0
534,82702.0,35.0
535,82702.0,10751.0
536,205584.0,14.0
537,10048.0,28.0
538,13183.0,28.0
539,13183.0,9648.0
540,13183.0,878.0
541,944.0,28.0
542,944.0,12.0
543,944.0,35.0
544,944.0,80.0
545,944.0,53.0
546,1927.0,18.0
547,1927.0,28.0
548,1927.0,878.0
549,72559.0,12.0
550,72559.0,28.0
551,72559.0,878.0
552,72559.0,53.0
553,7364.0,28.0
554,7364.0,12.0
555,7364.0,35.0
556,7364.0,18.0
557,7364.0,9648.0
558,2114.0,12.0
559,2114.0,28.0
560,2114.0,16.0
561,2114.0,14.0
562,2114.0,878.0
